id,order_number,portal,total_amount,created_at
f8b5a1e0-e364-4429-8787-3b5bd27c3384,"https://www.firstcry.com/get-it/get-it-100-cotton-breast-feeding-recron-pillow-removable-cover-with-zip-buckle-adjust-nursing-navy-blue/11261921/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
62793349-b0f4-447d-aa10-9490b872a389,"https://www.firstcry.com/get-it/get-it-maternity-pillow-premium-3-in-1-multi-usage-as-breastfeeding-baby-guard-100-cotton-removable-cover-with-zip-orange/17729908/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
f5349853-35b5-4bef-ae04-c3d7acfa86d2,"40234410NXE6060D01",firstcry,0,2026-05-15T12:48:44.622613+00:00
35945fb3-e67c-4753-a1f6-eda9a15c4cf0,"https://www.firstcry.com/get-it/get-it-100-cotton-extra-large-breast-foam-feeding-pillow-removable-cover-with-zip-buckle-adjust-nursing-navy-blue-print/17729912/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
c83c9eb4-0d20-4ab0-9a77-98f52ec67c61,"https://www.firstcry.com/get-it/get-it-100-cotton-multi-use-wedge-pregnancy-heart-print-pillow-removable-cover-with-zip-pink-heart/11261909/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
955b5adb-27ed-4bc4-99fe-7e3021f17eb5,"https://www.firstcry.com/get-it/get-it-100-cotton-multi-use-wedge-pregnancy-pillow-with-extra-inner-removable-cover-with-zip-wedge-royal-blue/14134975/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
66c8fa3c-7eb6-4b4a-adff-7e55708b4ecf,"https://www.firstcry.com/get-it/get-it-100-cotton-breast-feeding-recron-pillow-removable-cover-with-zip-buckle-adjust-nursing-full-pink/2822743/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
5cbe0d5b-6117-409c-899e-926622a6836e,"https://www.firstcry.com/get-it/get-it-100-cotton-c-shape-maternity-pillow-removable-cover-with-zip-red/2189129/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
dc36bdec-97c0-4b19-96c3-ac83c7474345,"https://www.firstcry.com/get-it/get-it-premium-multi-usage-breastfeeding-cover-apron-model-nursing-cover-adjustable-strap-easy-use-in-travel-red-checked/17729916/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
6227b121-06bc-4af8-91bc-95ebe7bff34b,"https://www.firstcry.com/get-it/get-it-organic-cotton-head-shaping-pillow-with-blooster-for-infants-and-toddlers-heart-print-pink-heart/11261920/product-detail",firstcry,0,2026-05-19T18:08:01.998468+00:00
