Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B0C8PPPDNS,,MPWedge227-W,INR,482.382857,14,8,6,6753.36,2959.04,82.6,6.0,495.6,41.89,2.0,83.78,71.642857,21.0,1504.5,-38.198889,9.0,-343.79,30.0125,12.0,360.15,5.076667,3.0,15.23,,,633.53,105.588333
IN,11/01/2025,11/30/2025,B0DG5SQ1T1,B0DG91261M,,OPWNBF,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P27KVCX,,PBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SFDJY,B07P3KN6PF,,PELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NJ5PXXF,B07NJ5PXXF,,PFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B096FP4HX9,B096FP4HX9,,PHSPW2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B09SYYGM1Q,B09SYYGM1Q,,Pink Heart Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B09SYYTB45,B09SYYTB45,,Pink Heart Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B0BXTBCCNC,,Pink_star,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B09SYZ8RF3,B09SYZ8RF3,,Pink Star Head Pillow,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
